bookId,title,publicationYear,description,language,reviews,publisherId
1693626,You Are Us: How to Build Bridges in a Polarized World,2023,"The Perils of Polarization and How Self-Liberation Transforms Leadership Through candid accounts of stereotypically vilified individuals—a jihadist, gang member, and white supremacist—as well as additional interviews with people who have been equally cruel and those who have experienced profound victimization, we learn how rigorous inner work can shift even deeply polarized social issues for the better. Piercing the often unconscious and destructive patterns that arise from a legacy of abuse gives rise to a clear leadership methodology, one that heals individuals across racial, political, social, and cultural divides. These stories of reckoning with trauma, pain, and socialized identity reveal how inner change can affect societal reconciliation; how it in fact directly transforms community, workplace culture, and society as a whole.",English,[],7594
1142057,Two Worlds,2012,,English,[],
1703124,Misjudged Murderesses: Female Injustice in Victorian Britain,2019,"Lacing tea with poison and slipping arsenic in to soup, this is what comes to mind we talk of murderesses of the Victorian age. Fuelled by a rumour-driven press and cases of notorious killers like Marry Ann Cotton, the 'Angel of Death', or Christiana Edmunds, the 'Chocolate Cream Killer', death by poisoning was a great anxiety of Victorian Britain. But what about those women who were wrongly convicted? What about the suspects who fell victim of a biased jury and unrelenting press? In _Misjudged Murderesses_, Stephen Jakobi takes a forensic approach to examine the trials of six women falsely sentenced for crimes they didn't commit. With the aid of primary sources, and in two cases the ready assistance of descendants and local journalists, the validity of their convictions is questioned. Highlighting common factors in poisoning cases that led to ostensible miscarriages of justice, Jakobi shines a light on a flawed and inconsistent legal system.",English,[],8937
1520095,The Enforcer,,,English,[],
262008,Monica Seles,,"Follows the life of the tennis star who became the youngest winner of a Grand Slam title in over 100 years, from her childhood in Yugoslavia through the traumatic attack during at a match in Germany in 1993 to her comeback in 1995.",English,[],
1684907,The Man-Kzin Wars,,,English,[],
1494244,No Dog Left Behind,2013,,English,[],1414
1142063,The Process Server,2012,,English,"[{'reviewiId': 1706961, 'score': 4.0, 'comment': None, 'date': '2014-07-17', 'userId': 7178}]",
1461926,Die Kommunen vor der Kommune 1870/71,,,English,[],25286
1402508,The Science of Miracles: Investigating the Incredible,2013,No Marketing Blurb,English,[],6145
1449978,Pārnākšana,1993,,English,[],151041
